dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour,rain
2022-11-02 13:00:00,18.25,17.8,1023,64,11.33,3.12,0,10000,1.54,210,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-11-02,13,
2022-11-02 14:00:00,18.41,18.08,1023,68,12.4,2.58,0,10000,3.09,200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-11-02,14,
2022-11-02 15:00:00,19.32,18.95,1022,63,12.11,1.64,0,10000,2.06,250,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-11-02,15,
2022-11-02 16:00:00,19.22,18.79,1021,61,11.52,0.59,20,10000,4.92,360,7.15,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-11-02,16,
2022-11-02 17:00:00,17.86,17.35,1021,63,10.73,0.16,0,10000,3.13,360,4.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-11-02,17,
2022-11-02 18:00:00,16.2,15.65,1021,68,10.29,0.0,0,10000,3.6,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,18,
2022-11-02 19:00:00,15.3,14.77,1020,72,10.29,0.0,0,10000,3.13,180,3.13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,19,
2022-11-02 20:00:00,14.44,13.95,1021,77,10.46,0.0,0,10000,3.6,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,20,
2022-11-02 21:00:00,14.71,14.22,1021,76,10.53,0.0,0,10000,2.06,280,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,21,
2022-11-02 22:00:00,14.33,13.86,1021,78,10.55,0.0,0,10000,2.57,270,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,22,
2022-11-02 23:00:00,14.3,13.9,1021,81,11.09,0.0,0,10000,2.06,260,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-02,23,
2022-11-03 00:00:00,14.38,13.99,1021,81,11.17,0.0,0,10000,1.79,270,2.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-11-03,0,
2022-11-03 01:00:00,14.58,14.16,1020,79,10.98,0.0,20,10000,1.34,360,1.79,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-11-03,1,
2022-11-03 02:00:00,14.65,14.31,1020,82,11.61,0.0,75,10000,2.06,170,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-11-03,2,
2022-11-03 03:00:00,14.58,14.21,1020,81,11.36,0.0,20,10000,1.79,270,2.24,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-11-03,3,
2022-11-03 04:00:00,14.9,14.59,1020,82,11.86,0.0,20,10000,1.54,190,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",2022-11-03,4,{'1h': 0.13}
2022-11-03 05:00:00,14.95,14.64,1020,82,11.91,0.0,20,10000,2.57,170,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-11-03,5,
2022-11-03 06:00:00,15.55,15.33,1020,83,12.68,0.0,75,10000,2.57,170,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-11-03,6,
2022-11-03 07:00:00,15.96,15.8,1020,84,13.26,0.0,75,10000,2.57,180,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-11-03,7,
2022-11-03 08:00:00,16.46,16.41,1020,86,14.11,0.0,75,5000,8.05,225,10.28,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-11-03,8,
2022-11-03 09:00:00,16.7,16.67,1021,86,14.35,0.19,75,10000,12.07,225,13.86,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-11-03,9,
2022-11-03 10:00:00,17.19,17.45,1023,95,16.38,0.15,75,2500,4.12,220,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-11-03,10,
2022-11-03 11:00:00,17.63,17.69,1020,86,15.26,0.24,75,2500,12.96,225,12.96,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-11-03,11,
2022-11-03 12:00:00,17.83,17.94,1020,87,15.64,0.32,75,3000,9.39,315,12.52,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-11-03,12,
2022-11-03 13:00:00,18.46,18.66,1020,88,16.44,2.42,75,3000,6.71,360,11.62,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-11-03,13,
2022-11-03 14:00:00,19.27,19.55,1019,88,17.23,2.0,75,6000,8.05,270,10.73,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-11-03,14,
2022-11-03 15:00:00,19.91,20.15,1019,84,17.13,1.26,75,10000,6.71,360,9.83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-11-03,15,
2022-11-03 16:00:00,19.84,20.07,1019,84,17.06,0.46,75,10000,4.92,315,9.39,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-11-03,16,
2022-11-03 17:00:00,19.23,19.48,1019,87,17.01,0.12,75,10000,4.12,240,,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-11-03,17,
2022-11-03 18:00:00,19.22,19.5,1019,88,17.18,0.0,75,10000,4.63,250,,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",2022-11-03,18,
2022-11-03 19:00:00,19.17,19.47,1020,89,17.31,0.0,75,10000,4.47,135,7.6,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",2022-11-03,19,
2022-11-03 20:00:00,19.43,19.91,1021,95,18.61,0.0,75,10000,4.63,250,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",2022-11-03,20,
2022-11-03 21:00:00,18.82,19.0,1020,86,16.43,0.0,75,8000,8.05,360,8.05,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",2022-11-03,21,
2022-11-03 22:00:00,18.52,18.73,1020,88,16.5,0.0,40,10000,2.57,270,,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",2022-11-03,22,
2022-11-03 23:00:00,18.47,18.83,1022,94,17.49,0.0,75,10000,3.09,350,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-11-03,23,
