dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,rain,date,hour
2022-12-07 20:00:00,14.57,14.56,1003,95,13.78,0.0,75,10000,8.75,130,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.56},2022-12-07,20
2022-12-07 21:00:00,14.98,15.01,1002,95,14.19,0.0,75,10000,8.23,130,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-07,21
2022-12-07 22:00:00,15.41,15.49,1001,95,14.61,0.0,75,2500,6.69,140,,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.75},2022-12-07,22
2022-12-07 23:00:00,14.51,14.5,1002,95,13.72,0.0,75,4000,8.23,230,,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11n'}, {'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.33},2022-12-07,23
2022-12-08 00:00:00,14.08,14.02,1001,95,13.29,0.0,40,8000,4.63,220,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 0.75},2022-12-08,0
2022-12-08 01:00:00,14.08,14.02,1000,95,13.29,0.0,40,10000,5.14,170,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.24},2022-12-08,1
2022-12-08 02:00:00,14.14,14.09,1000,95,13.35,0.0,75,10000,5.14,170,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-08,2
2022-12-08 03:00:00,14.43,14.38,999,94,13.48,0.0,75,10000,3.09,210,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-08,3
2022-12-08 04:00:00,15.07,15.06,999,93,13.95,0.0,75,10000,4.12,180,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-08,4
2022-12-08 05:00:00,14.84,14.86,999,95,14.05,0.0,20,10000,3.6,210,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-08,5
2022-12-08 06:00:00,14.08,14.02,999,95,13.29,0.0,75,10000,2.06,200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-08,6
2022-12-08 07:00:00,14.71,14.69,999,94,13.76,0.0,40,10000,4.63,170,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-12-08,7
2022-12-08 08:00:00,15.83,15.9,999,93,14.7,0.0,40,10000,5.14,180,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,8
2022-12-08 09:00:00,16.07,16.08,999,90,14.43,0.26,40,10000,7.2,200,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,9
2022-12-08 10:00:00,16.94,16.94,999,86,14.58,0.54,40,10000,7.72,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,10
2022-12-08 11:00:00,16.92,16.86,1000,84,14.2,0.97,40,10000,9.77,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,11
2022-12-08 12:00:00,17.07,16.9,999,79,13.4,1.29,20,10000,7.72,220,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-12-08,12
2022-12-08 13:00:00,17.79,17.56,999,74,13.1,1.89,40,10000,7.72,220,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,13
2022-12-08 14:00:00,17.81,17.55,998,73,12.91,1.51,20,10000,7.72,220,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-12-08,14
2022-12-08 15:00:00,16.96,16.72,998,77,12.9,0.91,20,10000,7.2,210,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-12-08,15
2022-12-08 16:00:00,17.09,16.89,999,78,13.23,0.39,40,10000,5.66,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-12-08,16
2022-12-08 17:00:00,15.57,15.38,999,84,12.88,0.0,20,10000,5.66,200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-12-08,17
2022-12-08 18:00:00,15.26,15.09,999,86,12.93,0.0,20,10000,3.6,220,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-08,18
2022-12-08 19:00:00,14.46,14.26,999,88,12.5,0.0,20,10000,4.12,200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-08,19
2022-12-08 20:00:00,13.99,13.74,999,88,12.04,0.0,20,10000,3.6,180,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-08,20
2022-12-08 21:00:00,14.47,14.24,1000,87,12.33,0.0,40,5000,9.26,250,,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11n'}, {'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.15},2022-12-08,21
2022-12-08 22:00:00,13.53,13.39,1000,94,12.58,0.0,20,10000,2.57,230,,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",{'1h': 0.27},2022-12-08,22
2022-12-08 23:00:00,13.74,13.65,1000,95,12.95,0.0,75,9000,4.12,150,,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",{'1h': 0.56},2022-12-08,23
