dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-01-09 17:00:00,13.05,12.32,1026,73,8.33,0.0,75,10000,1.79,83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",3.58,2022-01-09,17
2022-01-09 18:00:00,13.14,12.42,1028,73,8.41,0.0,75,10000,3.09,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-01-09,18
2022-01-09 19:00:00,12.97,12.23,1028,73,8.25,0.0,75,10000,3.6,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-01-09,19
2022-01-09 20:00:00,12.74,12.05,1026,76,8.62,0.0,90,10000,2.68,43,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",3.58,2022-01-09,20
2022-01-09 21:00:00,12.44,11.72,1025,76,8.33,0.0,75,10000,1.79,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",3.58,2022-01-09,21
2022-01-09 22:00:00,12.33,11.66,1025,78,8.61,0.0,75,10000,1.03,0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-01-09,22
2022-01-09 23:00:00,12.44,11.83,1025,80,9.09,0.0,90,10000,0.89,44,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",3.58,2022-01-09,23
2022-01-10 00:00:00,12.33,11.71,1025,80,8.98,0.0,90,10000,0.89,34,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",4.02,2022-01-10,0
2022-01-10 01:00:00,12.32,11.7,1025,80,8.97,0.0,90,10000,0.89,47,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",3.13,2022-01-10,1
2022-01-10 02:00:00,12.21,11.63,1024,82,9.23,0.0,75,10000,2.24,49,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",3.58,2022-01-10,2
2022-01-10 03:00:00,12.1,11.51,1024,82,9.12,0.0,75,10000,0.45,56,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",3.13,2022-01-10,3
2022-01-10 04:00:00,11.97,11.34,1024,81,8.82,0.0,75,10000,0.45,48,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",1.79,2022-01-10,4
2022-01-10 05:00:00,12.06,11.46,1023,82,9.08,0.0,75,10000,0.89,49,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",1.79,2022-01-10,5
2022-01-10 06:00:00,11.92,11.33,1023,83,9.13,0.0,75,10000,0.89,42,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2.68,2022-01-10,6
2022-01-10 07:00:00,11.53,10.93,1024,84,8.92,0.0,75,10000,0.89,65,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",4.92,2022-01-10,7
2022-01-10 08:00:00,11.17,10.61,1024,87,9.09,0.0,75,10000,0.89,45,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",1.79,2022-01-10,8
2022-01-10 09:00:00,11.8,11.31,1024,87,9.71,0.27,75,10000,0.89,73,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",1.79,2022-01-10,9
2022-01-10 10:00:00,12.88,12.39,1024,83,10.07,0.77,75,10000,2.68,47,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",4.47,2022-01-10,10
2022-01-10 11:00:00,13.71,13.2,1024,79,10.14,1.36,75,10000,3.13,36,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",6.71,2022-01-10,11
2022-01-10 12:00:00,13.94,13.37,1023,76,9.78,1.81,75,10000,1.79,45,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",3.58,2022-01-10,12
2022-01-10 13:00:00,14.14,13.54,1023,74,9.58,1.3,75,10000,1.79,135,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.02,2022-01-10,13
2022-01-10 14:00:00,14.17,13.57,1022,74,9.61,1.05,75,10000,3.58,61,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",5.81,2022-01-10,14
2022-01-10 15:00:00,14.18,13.56,1022,73,9.42,0.64,75,10000,2.24,43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.92,2022-01-10,15
2022-01-10 16:00:00,13.83,13.17,1022,73,9.08,0.21,75,10000,3.13,44,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",5.36,2022-01-10,16
2022-01-10 17:00:00,13.49,12.88,1022,76,9.35,0.0,75,10000,6.26,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",8.49,2022-01-10,17
2022-01-10 18:00:00,12.87,12.25,1022,78,9.13,0.0,75,10000,3.58,63,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",7.6,2022-01-10,18
2022-01-10 19:00:00,12.3,11.6,1022,77,8.39,0.0,75,10000,6.26,83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",11.18,2022-01-10,19
2022-01-10 20:00:00,11.68,10.91,1022,77,7.79,0.0,20,10000,4.47,87,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",6.26,2022-01-10,20
2022-01-10 21:00:00,11.44,10.65,1022,77,7.56,0.0,20,10000,3.13,47,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",5.81,2022-01-10,21
2022-01-10 22:00:00,11.08,10.23,1022,76,7.02,0.0,20,10000,0.89,90,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",1.79,2022-01-10,22
2022-01-10 23:00:00,10.88,10.01,1022,76,6.82,0.0,0,10000,1.79,88,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",4.02,2022-01-10,23
