dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2022-02-10 00:00:00,12.11,11.28,1025,73,7.42,0.0,0,10000,2.06,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,0
2022-02-10 01:00:00,11.6,10.75,1024,74,7.13,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,1
2022-02-10 02:00:00,11.36,10.48,1023,74,6.9,0.0,0,10000,1.79,73,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",3.58,,2022-02-10,2
2022-02-10 03:00:00,11.38,10.51,1023,74,6.92,0.0,0,10000,1.34,68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2.68,,2022-02-10,3
2022-02-10 04:00:00,10.56,9.63,1023,75,6.32,0.0,0,10000,0.89,68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",1.79,,2022-02-10,4
2022-02-10 05:00:00,10.0,8.78,1024,80,6.71,0.0,0,10000,2.57,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,5
2022-02-10 06:00:00,9.9,9.49,1023,80,6.62,0.0,0,10000,1.54,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,6
2022-02-10 07:00:00,10.12,9.22,1023,78,6.46,0.0,0,10000,2.57,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,7
2022-02-10 08:00:00,10.15,9.26,1024,78,6.49,0.09,0,9000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,8
2022-02-10 09:00:00,10.36,9.54,1025,80,7.06,0.39,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,9
2022-02-10 10:00:00,12.08,11.2,1024,71,6.99,0.9,0,10000,2.06,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,10
2022-02-10 11:00:00,12.76,11.95,1025,71,7.64,1.49,0,10000,3.09,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,11
2022-02-10 12:00:00,15.11,14.3,1025,62,7.89,1.9,0,10000,3.09,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,12
2022-02-10 13:00:00,16.4,15.69,1025,61,8.87,1.97,0,10000,3.09,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,13
2022-02-10 14:00:00,16.43,15.77,1025,63,9.37,1.64,0,10000,2.57,230,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,14
2022-02-10 15:00:00,16.43,15.83,1024,65,9.84,1.07,0,10000,2.06,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,15
2022-02-10 16:00:00,16.33,15.77,1023,67,10.2,0.5,0,10000,1.54,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,16
2022-02-10 17:00:00,15.94,15.34,1024,67,9.83,0.14,0,10000,1.03,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,17
2022-02-10 18:00:00,14.98,14.39,1024,71,9.77,0.0,0,10000,2.06,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-02-10,18
2022-02-10 19:00:00,14.74,14.12,1024,71,9.54,0.0,0,10000,1.54,320,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.13},2022-02-10,19
2022-02-10 20:00:00,14.66,14.06,1024,72,9.67,0.0,0,10000,2.57,40,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.24},2022-02-10,20
2022-02-10 21:00:00,14.71,14.12,1025,72,9.72,0.0,0,10000,3.09,300,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.24},2022-02-10,21
2022-02-10 22:00:00,15.02,14.35,1023,68,9.17,0.0,0,10000,3.09,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.12},2022-02-10,22
2022-02-10 23:00:00,14.65,13.97,1023,69,9.03,0.0,0,10000,1.54,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-10,23
2022-02-11 00:00:00,14.3,13.67,1023,72,9.33,0.0,0,10000,1.54,80,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,0
2022-02-11 01:00:00,14.41,13.73,1022,70,9.01,0.0,0,10000,1.54,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,1
2022-02-11 02:00:00,14.27,13.58,1022,70,8.88,0.0,0,10000,2.06,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,2
2022-02-11 03:00:00,13.68,13.09,1022,76,9.53,0.0,0,10000,2.57,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,3
2022-02-11 04:00:00,13.78,13.07,1021,71,8.62,0.0,0,10000,2.06,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,4
2022-02-11 05:00:00,12.92,12.2,1022,74,8.4,0.0,0,10000,2.57,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,5
2022-02-11 06:00:00,12.27,11.56,1023,77,8.36,0.0,0,10000,3.09,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,6
2022-02-11 07:00:00,12.09,11.47,1024,81,8.93,0.0,0,10000,2.06,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-02-11,7
2022-02-11 08:00:00,11.91,11.3,1023,82,8.94,0.13,0,10000,3.09,310,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,,2022-02-11,8
