dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust,date,hour
2022-04-11 00:00:00,14.01,13.69,1000,85,11.53,0.0,75,4000,7.2,230,"[{'id': 310, 'main': 'Drizzle', 'description': 'light intensity drizzle rain', 'icon': '09n'}, {'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'1h': 4.06},,2022-04-11,0
2022-04-11 01:00:00,13.74,13.42,1005,86,11.44,0.0,75,10000,6.17,200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-11,1
2022-04-11 02:00:00,13.83,13.57,1000,88,11.88,0.0,75,10000,6.17,210,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-11,2
2022-04-11 03:00:00,14.21,13.96,1000,87,12.08,0.0,75,10000,6.69,190,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,,2022-04-11,3
2022-04-11 04:00:00,14.41,14.18,999,87,12.28,0.0,75,10000,6.17,200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-11,4
2022-04-11 05:00:00,14.7,14.55,998,89,12.91,0.0,75,10000,7.2,200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-11,5
2022-04-11 06:00:00,14.85,14.66,999,87,12.71,0.0,40,10000,7.2,200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-04-11,6
2022-04-11 07:00:00,14.99,14.84,999,88,13.02,0.18,40,10000,7.72,190,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,7
2022-04-11 08:00:00,15.45,15.3,999,86,13.12,0.72,75,10000,10.8,190,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,8
2022-04-11 09:00:00,15.18,14.84,1000,80,11.76,1.74,40,10000,10.8,210,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,9
2022-04-11 10:00:00,13.87,13.48,999,83,11.03,3.65,20,10000,6.69,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-04-11,10
2022-04-11 11:00:00,15.53,15.1,1000,75,11.12,5.21,40,10000,8.75,210,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,11
2022-04-11 12:00:00,16.49,16.02,1000,70,11.01,6.24,40,10000,7.72,220,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,12
2022-04-11 13:00:00,16.8,16.29,1001,67,10.64,6.01,75,10000,7.72,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,13
2022-04-11 14:00:00,16.75,16.23,1001,67,10.6,5.24,75,10000,8.23,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,14
2022-04-11 15:00:00,17.02,16.42,1000,63,9.93,3.87,40,10000,8.75,220,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,15
2022-04-11 16:00:00,16.96,16.33,1000,62,9.64,2.45,75,10000,7.2,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,16
2022-04-11 17:00:00,16.16,15.55,1001,66,9.81,1.11,75,10000,7.2,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,17
2022-04-11 18:00:00,15.8,15.26,1001,70,10.35,0.33,75,10000,7.2,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-04-11,18
2022-04-11 19:00:00,15.15,14.76,1001,78,11.35,0.0,40,10000,5.14,220,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-04-11,19
2022-04-11 20:00:00,14.68,14.29,1001,80,11.27,0.0,20,10000,6.17,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-04-11,20
2022-04-11 21:00:00,14.19,13.83,1002,83,11.35,0.0,40,10000,5.66,210,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-04-11,21
2022-04-11 22:00:00,13.83,13.51,1002,86,11.53,0.0,75,5000,6.17,210,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,11.83,2022-04-11,22
2022-04-11 23:00:00,13.62,13.36,1002,89,11.84,0.0,20,10000,5.14,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-04-11,23
2022-04-12 00:00:00,13.24,12.94,1002,89,11.47,0.0,40,10000,4.63,230,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",{'1h': 2.03},,2022-04-12,0
2022-04-12 01:00:00,12.76,12.44,1002,90,11.16,0.0,40,6000,4.02,268,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",{'1h': 0.27},6.26,2022-04-12,1
2022-04-12 02:00:00,12.77,12.45,1002,90,11.17,0.0,20,10000,3.6,240,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-04-12,2
2022-04-12 03:00:00,12.68,12.41,1002,92,11.42,0.0,75,10000,3.6,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-12,3
2022-04-12 04:00:00,12.8,12.54,1002,92,11.53,0.0,40,10000,3.6,210,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-04-12,4
2022-04-12 05:00:00,12.82,12.35,1002,84,10.19,0.0,75,10000,2.57,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-04-12,5
2022-04-12 06:00:00,12.09,11.6,1003,86,9.82,0.0,40,10000,3.09,250,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-04-12,6
