dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-07-28 23:00:00,19.41,19.42,1016,77,15.28,0.0,20,10000,11.32,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-07-28,23
2022-07-29 00:00:00,19.46,19.47,1016,77,15.33,0.0,40,10000,9.83,315,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",14.31,2022-07-29,0
2022-07-29 01:00:00,19.4,19.41,1016,77,15.27,0.0,40,10000,8.23,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-07-29,1
2022-07-29 02:00:00,18.59,18.52,1015,77,14.48,0.0,20,10000,6.71,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",8.49,2022-07-29,2
2022-07-29 03:00:00,18.58,18.5,1015,77,14.47,0.0,20,10000,12.07,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",14.31,2022-07-29,3
2022-07-29 04:00:00,18.83,18.78,1015,77,14.72,0.0,20,10000,7.72,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-07-29,4
2022-07-29 05:00:00,18.59,18.57,1015,79,14.88,0.0,40,10000,5.66,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-07-29,5
2022-07-29 06:00:00,19.08,19.11,1016,79,15.36,0.0,20,10000,12.35,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",17.49,2022-07-29,6
2022-07-29 07:00:00,19.47,19.46,1016,76,15.13,0.55,20,10000,12.86,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",18.52,2022-07-29,7
2022-07-29 08:00:00,21.23,21.24,1016,70,15.54,1.68,20,10000,12.35,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,8
2022-07-29 09:00:00,23.09,23.15,1017,65,16.16,3.55,20,10000,12.86,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,9
2022-07-29 10:00:00,24.59,24.7,1016,61,16.58,5.76,20,10000,12.35,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,10
2022-07-29 11:00:00,26.05,26.05,1016,56,16.6,7.9,20,10000,12.35,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,11
2022-07-29 12:00:00,26.97,27.64,1016,54,16.88,9.25,20,10000,11.83,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,12
2022-07-29 13:00:00,27.8,28.58,1016,54,17.65,9.24,20,10000,11.83,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,13
2022-07-29 14:00:00,27.63,28.46,1016,55,17.78,8.18,20,10000,13.89,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,14
2022-07-29 15:00:00,27.63,28.46,1015,55,17.78,6.24,20,10000,13.38,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",18.52,2022-07-29,15
2022-07-29 16:00:00,27.48,28.28,1015,55,17.64,4.01,20,10000,12.86,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,16
2022-07-29 17:00:00,26.27,26.27,1015,58,17.35,2.03,20,10000,12.86,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-07-29,17
2022-07-29 18:00:00,24.98,25.13,1015,61,16.94,0.75,20,10000,13.38,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",18.52,2022-07-29,18
2022-07-29 19:00:00,23.22,23.37,1015,68,16.99,0.17,20,10000,12.86,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",18.01,2022-07-29,19
2022-07-29 20:00:00,21.31,21.45,1016,75,16.7,0.0,20,10000,12.35,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",18.01,2022-07-29,20
2022-07-29 21:00:00,21.24,21.4,1017,76,16.84,0.0,20,10000,5.14,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-07-29,21
2022-07-29 22:00:00,20.66,20.84,1017,79,16.89,0.0,20,10000,4.12,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-07-29,22
2022-07-29 23:00:00,20.53,20.73,1016,80,16.96,0.0,20,10000,6.17,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-07-29,23
