dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-08-31 05:00:00,17.79,17.77,1020,82,14.68,0.0,40,10000,1.54,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-08-31,5
2022-08-31 06:00:00,17.02,16.97,1019,84,14.3,0.0,20,10000,2.06,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-08-31,6
2022-08-31 07:00:00,18.31,18.36,1021,83,15.37,0.23,20,10000,3.58,318,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",4.92,2022-08-31,7
2022-08-31 08:00:00,19.44,19.4,1020,75,14.9,0.99,20,10000,3.13,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",6.71,2022-08-31,8
2022-08-31 09:00:00,20.85,20.71,1020,66,14.27,2.49,20,10000,4.92,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",9.83,2022-08-31,9
2022-08-31 10:00:00,22.93,22.79,1020,58,14.23,4.34,40,10000,5.81,360,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",8.05,2022-08-31,10
2022-08-31 11:00:00,24.54,24.46,1019,54,14.63,6.24,20,10000,6.71,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",8.05,2022-08-31,11
2022-08-31 12:00:00,25.74,25.7,1019,51,14.85,7.49,20,10000,5.14,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-08-31,12
2022-08-31 13:00:00,26.28,26.28,1019,49,14.72,7.69,20,10000,5.66,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-08-31,13
2022-08-31 14:00:00,27.59,27.71,1018,46,14.94,6.69,0,10000,8.49,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",8.49,2022-08-31,14
2022-08-31 15:00:00,26.77,27.04,1018,47,14.53,4.89,0,10000,8.05,247,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",12.52,2022-08-31,15
2022-08-31 16:00:00,26.12,26.12,1018,49,14.58,2.9,0,10000,6.71,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",12.07,2022-08-31,16
2022-08-31 17:00:00,24.71,24.62,1018,53,14.5,1.28,20,10000,12.52,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",12.52,2022-08-31,17
2022-08-31 18:00:00,23.12,23.0,1017,58,14.41,0.36,20,10000,14.31,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",17.43,2022-08-31,18
2022-08-31 19:00:00,21.13,21.02,1017,66,14.53,0.0,20,10000,8.23,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-08-31,19
2022-08-31 20:00:00,19.99,19.92,1018,72,14.79,0.0,20,10000,6.71,331,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",9.83,2022-08-31,20
2022-08-31 21:00:00,19.38,19.36,1018,76,15.04,0.0,20,10000,8.94,349,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10.28,2022-08-31,21
2022-08-31 22:00:00,19.26,19.23,1018,76,14.93,0.0,20,10000,12.52,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",16.54,2022-08-31,22
2022-08-31 23:00:00,18.99,18.93,1017,76,14.67,0.0,0,10000,13.86,315,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",16.54,2022-08-31,23
