dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-10-08 19:00:00,21.71,21.61,1014,64,14.61,0.0,0,10000,6.69,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,19,
2022-10-08 20:00:00,20.07,19.99,1014,71,14.65,0.0,0,10000,6.69,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,20,
2022-10-08 21:00:00,20.11,19.93,1014,67,13.8,0.0,0,10000,6.69,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,21,
2022-10-08 22:00:00,19.47,19.25,1014,68,13.41,0.0,0,10000,4.63,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,22,
2022-10-08 23:00:00,18.7,18.45,1015,70,13.12,0.0,0,10000,4.12,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,23,
2022-10-09 00:00:00,17.48,17.29,1014,77,13.41,0.0,0,10000,2.57,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-09,0,
2022-10-09 01:00:00,17.42,17.23,1014,77,13.35,0.0,0,10000,3.13,337,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",4.47,2022-10-09,1,
2022-10-09 02:00:00,16.05,16.01,1014,88,14.06,0.0,20,10000,8.05,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",8.05,2022-10-09,2,
2022-10-09 03:00:00,16.12,16.14,1015,90,14.48,0.0,20,10000,6.69,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-09,3,
2022-10-09 04:00:00,15.65,15.62,1014,90,14.02,0.0,20,10000,5.14,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-09,4,
2022-10-09 05:00:00,15.92,15.92,1014,90,14.28,0.0,0,10000,4.63,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-09,5,
2022-10-09 06:00:00,15.93,15.93,1014,90,14.29,0.0,0,10000,5.81,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",6.71,2022-10-09,6,
2022-10-09 07:00:00,15.91,15.91,1014,90,14.27,0.0,20,10000,5.14,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-09,7,
2022-10-09 08:00:00,16.93,16.95,1015,87,14.75,0.28,20,10000,5.14,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-09,8,
2022-10-09 09:00:00,18.88,18.89,1016,79,15.16,0.99,20,10000,4.12,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-09,9,
2022-10-09 10:00:00,19.56,19.61,1017,78,15.62,1.97,0,10000,2.57,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,10,
2022-10-09 11:00:00,22.11,22.13,1016,67,15.7,3.13,0,10000,2.24,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2.68,2022-10-09,11,
2022-10-09 12:00:00,23.09,23.13,1016,64,15.91,3.91,0,10000,6.17,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,12,
2022-10-09 13:00:00,22.11,22.2,1015,70,16.39,3.75,0,10000,5.66,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,13,
2022-10-09 14:00:00,22.6,22.61,1015,65,15.69,3.16,0,10000,7.2,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,14,
2022-10-09 15:00:00,22.42,22.44,1015,66,15.76,2.15,0,10000,6.69,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,15,
2022-10-09 16:00:00,20.78,20.79,1015,72,15.55,0.79,0,10000,6.17,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,16,
2022-10-09 17:00:00,19.96,19.94,1015,74,15.19,0.26,0,10000,7.2,350,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,2022-10-09,17,{'1h': 0.42}
2022-10-09 18:00:00,18.98,18.92,1015,76,14.66,0.0,0,10000,4.12,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-09,18,
2022-10-09 19:00:00,18.35,18.28,1015,78,14.45,0.0,0,10000,7.15,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",7.15,2022-10-09,19,
2022-10-09 20:00:00,18.27,18.27,1017,81,14.96,0.0,0,10000,5.14,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-09,20,
2022-10-09 21:00:00,17.32,17.3,1016,84,14.59,0.0,0,10000,4.63,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-09,21,
2022-10-09 22:00:00,17.31,17.29,1016,84,14.58,0.0,20,10000,4.47,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",6.26,2022-10-09,22,
2022-10-09 23:00:00,17.16,17.23,1018,88,15.16,0.0,20,10000,4.02,322,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",5.81,2022-10-09,23,
